1001 13331.000000 13331.000000
1,32,149,149 2366.222222 3674.888889
1,64,147,147 3977.555556 6224.444444
1,80,73,73 1871.700000 2607.900000
1,192,35,35 1514.466667 2150.400000
1,96,35,35 1143.000000 1547.000000
1,64,35,35 1124.235294 1335.407692
1,32,35,35 1066.098039 1156.451178
1,320,35,35 1699.043796 2538.146226
1,35,35,320 3482.173469 3024.993915
1,256,35,35 1532.894737 2236.100000
1,384,17,17 990.632979 1534.401961
1,128,17,17 949.466667 1198.949749
1,192,17,17 1271.783784 1257.974747
1,1088,17,17 1499.940299 2534.507270
1,17,17,1088 3351.147741 2846.505898
1,256,17,17 948.518519 1408.636364
1,320,8,8 1121.400000 1120.600000
1,192,8,8 1008.967033 1096.974093
1,2080,8,8 1016.621908 1853.647249
1,8,8,2080 2098.580475 1854.438503
1,1536,1,1 658.375000 858.375000
1,1001 914.777778 727.789474
2 8219.000000 8219.000000
1,3,299,299 867.000000 867.000000
1,32,147,147 2245.777778 3572.200000
1,64,73,73 1536.777778 2293.800000
1,192,71,71 5686.333333 5358.400000
1,48,35,35 952.714286 1165.200000
1,128,35,35 1078.516484 1608.210000
1,160,17,17 919.011364 919.011364
1,288,17,17 1037.500000 1518.222222
1,224,8,8 790.666667 790.666667
1,448,8,8 701.787500 1177.571429
1,1536,8,8 1061.555556 1739.300000
1,1,1,1536 670.428571 923.400000
