conv0/Conv2D 1,3,331,331@0x6febc3b810; 1,96,165,165@0x6febc3b860; none 1;4;13;26;49;
cell_stem_1/path2_conv/Conv2D 1,96,83,83@0x6febc3c800; 1,42,83,83@0x6febc3c850; 62; 64;
cell_stem_1/concat 1,42,83,83@0x6febc3c5d0;1,42,83,83@0x6febc3c850; 1,84,83,83@0x6febc3c8a0; 51;63; 65;
cell_stem_1/final_path_bn/FusedBatchNormV3 1,84,83,83@0x6febc3c8a0; 1,84,83,83@0x6febc3c8f0; 64; 66;75;88;
cell_stem_1/comb_iter_1/right/Relu 1,84,83,83@0x6febc3c8f0; 1,84,83,83@0x6febc3c940; 65; 67;
cell_stem_1/comb_iter_1/right/separable_7x7_1/separable_conv2d/depthwise 1,84,83,83@0x6febc3c940; 1,84,42,42@0x6febc3c990; 66; 68;
cell_stem_1/comb_iter_1/right/separable_7x7_1/separable_conv2d 1,84,42,42@0x6febc3c990; 1,84,42,42@0x6febc3c9e0; 67; 69;
cell_stem_1/comb_iter_1/right/separable_7x7_2/separable_conv2d/depthwise 1,84,42,42@0x6febc3c9e0; 1,84,42,42@0x6febc3ca30; 68; 70;
cell_stem_1/comb_iter_1/right/separable_7x7_2/separable_conv2d 1,84,42,42@0x6febc3ca30; 1,84,42,42@0x6febc3ca80; 69; 72;
cell_stem_1/comb_iter_1/left/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_1/combine/add 1,84,42,42@0x6febc3c4e0; 1,84,42,42@0x6fd13fe3d0; 48; 73;
cell_stem_1/comb_iter_1/right/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_1/combine/add 1,84,42,42@0x6febc3ca80; 1,84,42,42@0x6fd13fe420; 70; 73;
cell_stem_1/comb_iter_1/combine/add 1,84,42,42@0x6fd13fe3d0;1,84,42,42@0x6fd13fe420; 1,84,42,42@0x6febc3cad0; 71;72; 96;106;
cell_stem_1/comb_iter_2/left/AvgPool2D/AvgPool 1,84,83,83@0x6febc3c490; 1,84,42,42@0x6febc3cb20; 47; 80;
