conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_0/comb_iter_2/combine/add___tr4cell_0/cell_output/concat 1,44,28,28@0x7d7ac3e060; 1,44,28,28@0x7d7adfa140; 153; 167;
cell_0/comb_iter_3/combine/add___tr4cell_0/cell_output/concat 1,44,28,28@0x7d7ac3e150; 1,44,28,28@0x7d7adfa190; 158; 167;
cell_0/cell_output/concat 1,44,28,28@0x7d7ac3d840;1,44,28,28@0x7d7ac3dc50;1,44,28,28@0x7d7ac3dfc0;1,44,28,28@0x7d7adfa140;1,44,28,28@0x7d7adfa190;1,44,28,28@0x7d7ac3e330; 1,264,28,28@0x7d7ac3e380; 124;138;149;164;165;166; 168;212;
cell_1/Relu_1 1,264,28,28@0x7d7ac3e380; 1,264,28,28@0x7d7ac3e3d0; 167; 169;
cell_1/1x1/Conv2D 1,264,28,28@0x7d7ac3e3d0; 1,44,28,28@0x7d7ac3e420; 168; 170;192;201;206;
cell_1/comb_iter_0/left/Relu 1,44,28,28@0x7d7ac3e420; 1,44,28,28@0x7d7ac3e470; 169; 171;
cell_1/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e470; 1,44,28,28@0x7d7ac3e4c0; 170; 172;
cell_1/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d7ac3e4c0; 1,44,28,28@0x7d7ac3e510; 171; 173;
cell_1/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e510; 1,44,28,28@0x7d7ac3e560; 172; 174;
cell_1/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d7ac3e560; 1,44,28,28@0x7d7ac3e5b0; 173; 180;
cell_1/comb_iter_0/right/Relu 1,44,28,28@0x7d7ac3d430; 1,44,28,28@0x7d7ac3e600; 109; 176;
cell_1/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e600; 1,44,28,28@0x7d7ac3e650; 175; 177;
cell_1/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d7ac3e650; 1,44,28,28@0x7d7ac3e6a0; 176; 178;
cell_1/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e6a0; 1,44,28,28@0x7d7ac3e6f0; 177; 179;
cell_1/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d7ac3e6f0; 1,44,28,28@0x7d7ac3e740; 178; 180;
cell_1/comb_iter_0/combine/add 1,44,28,28@0x7d7ac3e5b0;1,44,28,28@0x7d7ac3e740; 1,44,28,28@0x7d7ac3e790; 174;179; 209;
cell_1/comb_iter_1/left/Relu 1,44,28,28@0x7d7ac3d430; 1,44,28,28@0x7d7ac3e7e0; 109; 182;
cell_1/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e7e0; 1,44,28,28@0x7d7ac3e830; 181; 183;
cell_1/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d7ac3e830; 1,44,28,28@0x7d7ac3e880; 182; 184;
cell_1/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e880; 1,44,28,28@0x7d7ac3e8d0; 183; 185;
cell_1/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d7ac3e8d0; 1,44,28,28@0x7d7ac3e920; 184; 191;
cell_1/comb_iter_1/right/Relu 1,44,28,28@0x7d7ac3d430; 1,44,28,28@0x7d7ac3e970; 109; 187;
cell_1/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e970; 1,44,28,28@0x7d7ac3e9c0; 186; 188;
cell_1/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d7ac3e9c0; 1,44,28,28@0x7d7ac3ea10; 187; 189;
cell_1/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3ea10; 1,44,28,28@0x7d7ac3ea60; 188; 190;
cell_1/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d7ac3ea60; 1,44,28,28@0x7d7ac3eab0; 189; 191;
cell_1/comb_iter_1/combine/add 1,44,28,28@0x7d7ac3e920;1,44,28,28@0x7d7ac3eab0; 1,44,28,28@0x7d7ac3eb00; 185;190; 209;
cell_1/comb_iter_2/left/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3e420; 1,44,28,28@0x7d7ac3eb50; 169; 193;
cell_1/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_1/comb_iter_2/combine/add 1,44,28,28@0x7d7ac3eb50; 1,44,28,28@0x7d7adfa1e0; 192; 195;
cell_1/prev_bn/FusedBatchNormV3___tr4cell_1/comb_iter_2/combine/add 1,44,28,28@0x7d7ac3d430; 1,44,28,28@0x7d7adfa230; 109; 195;
cell_1/comb_iter_2/combine/add 1,44,28,28@0x7d7adfa1e0;1,44,28,28@0x7d7adfa230; 1,44,28,28@0x7d7ac3eba0; 193;194; 207;
cell_1/comb_iter_3/left/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3d430; 1,44,28,28@0x7d7ac3ebf0; 109; 198;
cell_1/comb_iter_3/right/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3d430; 1,44,28,28@0x7d7ac3ec40; 109; 199;
cell_1/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_1/comb_iter_3/combine/add 1,44,28,28@0x7d7ac3ebf0; 1,44,28,28@0x7d7adfa280; 196; 200;
cell_1/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_1/comb_iter_3/combine/add 1,44,28,28@0x7d7ac3ec40; 1,44,28,28@0x7d7adfa2d0; 197; 200;
cell_1/comb_iter_3/combine/add 1,44,28,28@0x7d7adfa280;1,44,28,28@0x7d7adfa2d0; 1,44,28,28@0x7d7ac3ec90; 198;199; 208;
cell_1/comb_iter_4/left/Relu 1,44,28,28@0x7d7ac3e420; 1,44,28,28@0x7d7ac3ece0; 169; 202;
cell_1/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3ece0; 1,44,28,28@0x7d7ac3ed30; 201; 203;
cell_1/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d7ac3ed30; 1,44,28,28@0x7d7ac3ed80; 202; 204;
cell_1/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3ed80; 1,44,28,28@0x7d7ac3edd0; 203; 205;
cell_1/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d7ac3edd0; 1,44,28,28@0x7d7ac3ee20; 204; 206;
cell_1/comb_iter_4/combine/add 1,44,28,28@0x7d7ac3ee20;1,44,28,28@0x7d7ac3e420; 1,44,28,28@0x7d7ac3ee70; 169;205; 209;
cell_1/comb_iter_2/combine/add___tr4cell_1/cell_output/concat 1,44,28,28@0x7d7ac3eba0; 1,44,28,28@0x7d7adfa320; 195; 209;
cell_1/comb_iter_3/combine/add___tr4cell_1/cell_output/concat 1,44,28,28@0x7d7ac3ec90; 1,44,28,28@0x7d7adfa370; 200; 209;
cell_1/cell_output/concat 1,44,28,28@0x7d7ac3d430;1,44,28,28@0x7d7ac3e790;1,44,28,28@0x7d7ac3eb00;1,44,28,28@0x7d7adfa320;1,44,28,28@0x7d7adfa370;1,44,28,28@0x7d7ac3ee70; 1,264,28,28@0x7d7ac3eec0; 109;180;191;206;207;208; 210;214;
cell_3/Relu 1,264,28,28@0x7d7ac3eec0; 1,264,28,28@0x7d7ac3ef10; 209; 211;
cell_3/prev_1x1/Conv2D 1,264,28,28@0x7d7ac3ef10; 1,44,28,28@0x7d7ac3ef60; 210; 263;269;274;282;284;285;297;
cell_2/Relu 1,264,28,28@0x7d7ac3e380; 1,264,28,28@0x7d7ac3efb0; 167; 213;
cell_2/prev_1x1/Conv2D 1,264,28,28@0x7d7ac3efb0; 1,44,28,28@0x7d783fb000; 212; 221;227;232;240;242;243;255;
cell_2/Relu_1 1,264,28,28@0x7d7ac3eec0; 1,264,28,28@0x7d783fb050; 209; 215;
cell_2/1x1/Conv2D 1,264,28,28@0x7d783fb050; 1,44,28,28@0x7d783fb0a0; 214; 216;238;247;252;
cell_2/comb_iter_0/left/Relu 1,44,28,28@0x7d783fb0a0; 1,44,28,28@0x7d783fb0f0; 215; 217;
cell_2/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fb0f0; 1,44,28,28@0x7d783fb140; 216; 218;
cell_2/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d783fb140; 1,44,28,28@0x7d783fb190; 217; 219;
cell_2/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fb190; 1,44,28,28@0x7d783fb1e0; 218; 220;
cell_2/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d783fb1e0; 1,44,28,28@0x7d783fb230; 219; 226;
cell_2/comb_iter_0/right/Relu 1,44,28,28@0x7d783fb000; 1,44,28,28@0x7d783fb280; 213; 222;
cell_2/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fb280; 1,44,28,28@0x7d783fb2d0; 221; 223;
cell_2/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d783fb2d0; 1,44,28,28@0x7d783fb320; 222; 224;
cell_2/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fb320; 1,44,28,28@0x7d783fb370; 223; 225;
cell_2/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d783fb370; 1,44,28,28@0x7d783fb3c0; 224; 226;
cell_2/comb_iter_0/combine/add 1,44,28,28@0x7d783fb230;1,44,28,28@0x7d783fb3c0; 1,44,28,28@0x7d783fb410; 220;225; 255;
cell_2/comb_iter_1/left/Relu 1,44,28,28@0x7d783fb000; 1,44,28,28@0x7d783fb460; 213; 228;
cell_2/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fb460; 1,44,28,28@0x7d783fb4b0; 227; 229;
cell_2/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d783fb4b0; 1,44,28,28@0x7d783fb500; 228; 230;
cell_2/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fb500; 1,44,28,28@0x7d783fb550; 229; 231;
cell_2/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d783fb550; 1,44,28,28@0x7d783fb5a0; 230; 237;
cell_2/comb_iter_1/right/Relu 1,44,28,28@0x7d783fb000; 1,44,28,28@0x7d783fb5f0; 213; 233;
cell_2/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fb5f0; 1,44,28,28@0x7d783fb640; 232; 234;
cell_2/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d783fb640; 1,44,28,28@0x7d783fb690; 233; 235;
cell_2/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fb690; 1,44,28,28@0x7d783fb6e0; 234; 236;
cell_2/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d783fb6e0; 1,44,28,28@0x7d783fb730; 235; 237;
cell_2/comb_iter_1/combine/add 1,44,28,28@0x7d783fb5a0;1,44,28,28@0x7d783fb730; 1,44,28,28@0x7d783fb780; 231;236; 255;
cell_2/comb_iter_2/left/AvgPool2D/AvgPool 1,44,28,28@0x7d783fb0a0; 1,44,28,28@0x7d783fb7d0; 215; 239;
cell_2/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_2/comb_iter_2/combine/add 1,44,28,28@0x7d783fb7d0; 1,44,28,28@0x7d7adfa3c0; 238; 241;
cell_2/prev_bn/FusedBatchNormV3___tr4cell_2/comb_iter_2/combine/add 1,44,28,28@0x7d783fb000; 1,44,28,28@0x7d7adfa410; 213; 241;
cell_2/comb_iter_2/combine/add 1,44,28,28@0x7d7adfa3c0;1,44,28,28@0x7d7adfa410; 1,44,28,28@0x7d783fb820; 239;240; 253;
cell_2/comb_iter_3/left/AvgPool2D/AvgPool 1,44,28,28@0x7d783fb000; 1,44,28,28@0x7d783fb870; 213; 244;
cell_2/comb_iter_3/right/AvgPool2D/AvgPool 1,44,28,28@0x7d783fb000; 1,44,28,28@0x7d783fb8c0; 213; 245;
cell_2/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_2/comb_iter_3/combine/add 1,44,28,28@0x7d783fb870; 1,44,28,28@0x7d7adfa460; 242; 246;
cell_2/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_2/comb_iter_3/combine/add 1,44,28,28@0x7d783fb8c0; 1,44,28,28@0x7d7adfa4b0; 243; 246;
cell_2/comb_iter_3/combine/add 1,44,28,28@0x7d7adfa460;1,44,28,28@0x7d7adfa4b0; 1,44,28,28@0x7d783fb910; 244;245; 254;
cell_2/comb_iter_4/left/Relu 1,44,28,28@0x7d783fb0a0; 1,44,28,28@0x7d783fb960; 215; 248;
cell_2/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fb960; 1,44,28,28@0x7d783fb9b0; 247; 249;
cell_2/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d783fb9b0; 1,44,28,28@0x7d783fba00; 248; 250;
cell_2/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fba00; 1,44,28,28@0x7d783fba50; 249; 251;
cell_2/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d783fba50; 1,44,28,28@0x7d783fbaa0; 250; 252;
cell_2/comb_iter_4/combine/add 1,44,28,28@0x7d783fbaa0;1,44,28,28@0x7d783fb0a0; 1,44,28,28@0x7d783fbaf0; 215;251; 255;
cell_2/comb_iter_2/combine/add___tr4cell_2/cell_output/concat 1,44,28,28@0x7d783fb820; 1,44,28,28@0x7d7adfa500; 241; 255;
cell_2/comb_iter_3/combine/add___tr4cell_2/cell_output/concat 1,44,28,28@0x7d783fb910; 1,44,28,28@0x7d7adfa550; 246; 255;
cell_2/cell_output/concat 1,44,28,28@0x7d783fb000;1,44,28,28@0x7d783fb410;1,44,28,28@0x7d783fb780;1,44,28,28@0x7d7adfa500;1,44,28,28@0x7d7adfa550;1,44,28,28@0x7d783fbaf0; 1,264,28,28@0x7d783fbb40; 213;226;237;252;253;254; 256;301;
cell_3/Relu_1 1,264,28,28@0x7d783fbb40; 1,264,28,28@0x7d783fbb90; 255; 257;
cell_3/1x1/Conv2D 1,264,28,28@0x7d783fbb90; 1,44,28,28@0x7d783fbbe0; 256; 258;280;289;294;
cell_3/comb_iter_0/left/Relu 1,44,28,28@0x7d783fbbe0; 1,44,28,28@0x7d783fbc30; 257; 259;
cell_3/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fbc30; 1,44,28,28@0x7d783fbc80; 258; 260;
cell_3/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d783fbc80; 1,44,28,28@0x7d783fbcd0; 259; 261;
cell_3/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fbcd0; 1,44,28,28@0x7d783fbd20; 260; 262;
cell_3/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d783fbd20; 1,44,28,28@0x7d783fbd70; 261; 268;
cell_3/comb_iter_0/right/Relu 1,44,28,28@0x7d7ac3ef60; 1,44,28,28@0x7d783fbdc0; 211; 264;
cell_3/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fbdc0; 1,44,28,28@0x7d783fbe10; 263; 265;
cell_3/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d783fbe10; 1,44,28,28@0x7d783fbe60; 264; 266;
cell_3/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fbe60; 1,44,28,28@0x7d783fbeb0; 265; 267;
cell_3/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d783fbeb0; 1,44,28,28@0x7d783fbf00; 266; 268;
cell_3/comb_iter_0/combine/add 1,44,28,28@0x7d783fbd70;1,44,28,28@0x7d783fbf00; 1,44,28,28@0x7d783fbf50; 262;267; 297;
cell_3/comb_iter_1/left/Relu 1,44,28,28@0x7d7ac3ef60; 1,44,28,28@0x7d783fbfa0; 211; 270;
cell_3/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fbfa0; 1,44,28,28@0x7d783fbff0; 269; 271;
cell_3/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d783fbff0; 1,44,28,28@0x7d783fc040; 270; 272;
cell_3/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fc040; 1,44,28,28@0x7d783fc090; 271; 273;
cell_3/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d783fc090; 1,44,28,28@0x7d783fc0e0; 272; 279;
cell_3/comb_iter_1/right/Relu 1,44,28,28@0x7d7ac3ef60; 1,44,28,28@0x7d783fc130; 211; 275;
cell_3/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fc130; 1,44,28,28@0x7d783fc180; 274; 276;
cell_3/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d783fc180; 1,44,28,28@0x7d783fc1d0; 275; 277;
cell_3/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fc1d0; 1,44,28,28@0x7d783fc220; 276; 278;
cell_3/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d783fc220; 1,44,28,28@0x7d783fc270; 277; 279;
cell_3/comb_iter_1/combine/add 1,44,28,28@0x7d783fc0e0;1,44,28,28@0x7d783fc270; 1,44,28,28@0x7d783fc2c0; 273;278; 297;
cell_3/comb_iter_2/left/AvgPool2D/AvgPool 1,44,28,28@0x7d783fbbe0; 1,44,28,28@0x7d783fc310; 257; 281;
cell_3/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_3/comb_iter_2/combine/add 1,44,28,28@0x7d783fc310; 1,44,28,28@0x7d7adfa5a0; 280; 283;
cell_3/prev_bn/FusedBatchNormV3___tr4cell_3/comb_iter_2/combine/add 1,44,28,28@0x7d7ac3ef60; 1,44,28,28@0x7d7adfa5f0; 211; 283;
cell_3/comb_iter_2/combine/add 1,44,28,28@0x7d7adfa5a0;1,44,28,28@0x7d7adfa5f0; 1,44,28,28@0x7d783fc360; 281;282; 295;
cell_3/comb_iter_3/left/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3ef60; 1,44,28,28@0x7d783fc3b0; 211; 286;
cell_3/comb_iter_3/right/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3ef60; 1,44,28,28@0x7d783fc400; 211; 287;
cell_3/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_3/comb_iter_3/combine/add 1,44,28,28@0x7d783fc3b0; 1,44,28,28@0x7d7adfa640; 284; 288;
cell_3/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_3/comb_iter_3/combine/add 1,44,28,28@0x7d783fc400; 1,44,28,28@0x7d7adfa690; 285; 288;
cell_3/comb_iter_3/combine/add 1,44,28,28@0x7d7adfa640;1,44,28,28@0x7d7adfa690; 1,44,28,28@0x7d783fc450; 286;287; 296;
cell_3/comb_iter_4/left/Relu 1,44,28,28@0x7d783fbbe0; 1,44,28,28@0x7d783fc4a0; 257; 290;
cell_3/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d783fc4a0; 1,44,28,28@0x7d783fc4f0; 289; 291;
cell_3/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d783fc4f0; 1,44,28,28@0x7d783fc540; 290; 292;
cell_3/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d783fc540; 1,44,28,28@0x7d783fc590; 291; 293;
cell_3/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d783fc590; 1,44,28,28@0x7d783fc5e0; 292; 294;
cell_3/comb_iter_4/combine/add 1,44,28,28@0x7d783fc5e0;1,44,28,28@0x7d783fbbe0; 1,44,28,28@0x7d783fc630; 257;293; 297;
cell_3/comb_iter_2/combine/add___tr4cell_3/cell_output/concat 1,44,28,28@0x7d783fc360; 1,44,28,28@0x7d7adfa6e0; 283; 297;
cell_3/comb_iter_3/combine/add___tr4cell_3/cell_output/concat 1,44,28,28@0x7d783fc450; 1,44,28,28@0x7d7adfa730; 288; 297;
cell_3/cell_output/concat 1,44,28,28@0x7d7ac3ef60;1,44,28,28@0x7d783fbf50;1,44,28,28@0x7d783fc2c0;1,44,28,28@0x7d7adfa6e0;1,44,28,28@0x7d7adfa730;1,44,28,28@0x7d783fc630; 1,264,28,28@0x7d783fc680; 211;268;279;294;295;296; 298;347;
reduction_cell_0/Relu_1 1,264,28,28@0x7d783fc680; 1,264,28,28@0x7d783fc6d0; 297; 299;
reduction_cell_0/1x1/Conv2D 1,264,28,28@0x7d783fc6d0; 1,88,28,28@0x7d783fc720; 298; 300;311;320;339;
reduction_cell_0/comb_iter_1/left/MaxPool2D/MaxPool 1,88,28,28@0x7d783fc720; 1,88,14,14@0x7d783fc770; 299; 308;
reduction_cell_0/Relu 1,264,28,28@0x7d783fbb40; 1,264,28,28@0x7d783fc7c0; 255; 302;
reduction_cell_0/prev_1x1/Conv2D 1,264,28,28@0x7d783fc7c0; 1,88,28,28@0x7d783fc810; 301; 303;312;325;
reduction_cell_0/comb_iter_1/right/Relu 1,88,28,28@0x7d783fc810; 1,88,28,28@0x7d783fc860; 302; 304;
reduction_cell_0/comb_iter_1/right/separable_7x7_1/separable_conv2d/depthwise 1,88,28,28@0x7d783fc860; 1,88,14,14@0x7d783fc8b0; 303; 305;
reduction_cell_0/comb_iter_1/right/separable_7x7_1/separable_conv2d 1,88,14,14@0x7d783fc8b0; 1,88,14,14@0x7d783fc900; 304; 306;
reduction_cell_0/comb_iter_1/right/separable_7x7_2/separable_conv2d/depthwise 1,88,14,14@0x7d783fc900; 1,88,14,14@0x7d783fc950; 305; 307;
reduction_cell_0/comb_iter_1/right/separable_7x7_2/separable_conv2d 1,88,14,14@0x7d783fc950; 1,88,14,14@0x7d783fc9a0; 306; 309;
reduction_cell_0/comb_iter_1/left/MaxPool2D/MaxPool___tr4reduction_cell_0/comb_iter_1/combine/add 1,88,14,14@0x7d783fc770; 1,88,14,14@0x7d7adfa780; 300; 310;
reduction_cell_0/comb_iter_1/right/bn_sep_7x7_2/FusedBatchNormV3___tr4reduction_cell_0/comb_iter_1/combine/add 1,88,14,14@0x7d783fc9a0; 1,88,14,14@0x7d7adfa7d0; 307; 310;
reduction_cell_0/comb_iter_1/combine/add 1,88,14,14@0x7d7adfa780;1,88,14,14@0x7d7adfa7d0; 1,88,14,14@0x7d783fc9f0; 308;309; 333;343;
reduction_cell_0/comb_iter_2/left/AvgPool2D/AvgPool 1,88,28,28@0x7d783fc720; 1,88,14,14@0x7d783fca40; 299; 317;
reduction_cell_0/comb_iter_2/right/Relu 1,88,28,28@0x7d783fc810; 1,88,28,28@0x7d783fca90; 302; 313;
reduction_cell_0/comb_iter_2/right/separable_5x5_1/separable_conv2d/depthwise 1,88,28,28@0x7d783fca90; 1,88,14,14@0x7d783fcae0; 312; 314;
reduction_cell_0/comb_iter_2/right/separable_5x5_1/separable_conv2d 1,88,14,14@0x7d783fcae0; 1,88,14,14@0x7d783fcb30; 313; 315;
reduction_cell_0/comb_iter_2/right/separable_5x5_2/separable_conv2d/depthwise 1,88,14,14@0x7d783fcb30; 1,88,14,14@0x7d783fcb80; 314; 316;
reduction_cell_0/comb_iter_2/right/separable_5x5_2/separable_conv2d 1,88,14,14@0x7d783fcb80; 1,88,14,14@0x7d783fcbd0; 315; 318;
reduction_cell_0/comb_iter_2/left/AvgPool2D/AvgPool___tr4reduction_cell_0/comb_iter_2/combine/add 1,88,14,14@0x7d783fca40; 1,88,14,14@0x7d7adfa820; 311; 319;
reduction_cell_0/comb_iter_2/right/bn_sep_5x5_2/FusedBatchNormV3___tr4reduction_cell_0/comb_iter_2/combine/add 1,88,14,14@0x7d783fcbd0; 1,88,14,14@0x7d7adfa870; 316; 319;
reduction_cell_0/comb_iter_2/combine/add 1,88,14,14@0x7d7adfa820;1,88,14,14@0x7d7adfa870; 1,88,14,14@0x7d783fcc20; 317;318; 343;
reduction_cell_0/comb_iter_0/left/Relu 1,88,28,28@0x7d783fc720; 1,88,28,28@0x7d783fcc70; 299; 321;
reduction_cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,88,28,28@0x7d783fcc70; 1,88,14,14@0x7d783fccc0; 320; 322;
reduction_cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,88,14,14@0x7d783fccc0; 1,88,14,14@0x7d783fcd10; 321; 323;
reduction_cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,88,14,14@0x7d783fcd10; 1,88,14,14@0x7d783fcd60; 322; 324;
reduction_cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,88,14,14@0x7d783fcd60; 1,88,14,14@0x7d783fcdb0; 323; 330;
reduction_cell_0/comb_iter_0/right/Relu 1,88,28,28@0x7d783fc810; 1,88,28,28@0x7d783fce00; 302; 326;
reduction_cell_0/comb_iter_0/right/separable_7x7_1/separable_conv2d/depthwise 1,88,28,28@0x7d783fce00; 1,88,14,14@0x7d783fce50; 325; 327;
reduction_cell_0/comb_iter_0/right/separable_7x7_1/separable_conv2d 1,88,14,14@0x7d783fce50; 1,88,14,14@0x7d783fcea0; 326; 328;
reduction_cell_0/comb_iter_0/right/separable_7x7_2/separable_conv2d/depthwise 1,88,14,14@0x7d783fcea0; 1,88,14,14@0x7d783fcef0; 327; 329;
reduction_cell_0/comb_iter_0/right/separable_7x7_2/separable_conv2d 1,88,14,14@0x7d783fcef0; 1,88,14,14@0x7d783fcf40; 328; 330;
reduction_cell_0/comb_iter_0/combine/add 1,88,14,14@0x7d783fcdb0;1,88,14,14@0x7d783fcf40; 1,88,14,14@0x7d783fcf90; 324;329; 331;334;
reduction_cell_0/comb_iter_3/right/AvgPool2D/AvgPool 1,88,14,14@0x7d783fcf90; 1,88,14,14@0x7d783fcfe0; 330; 332;
reduction_cell_0/comb_iter_3/right/AvgPool2D/AvgPool___tr4reduction_cell_0/comb_iter_3/combine/add 1,88,14,14@0x7d783fcfe0; 1,88,14,14@0x7d7adfa8c0; 331; 333;
reduction_cell_0/comb_iter_3/combine/add 1,88,14,14@0x7d783fc9f0;1,88,14,14@0x7d7adfa8c0; 1,88,14,14@0x7d783fd030; 310;332; 343;
reduction_cell_0/comb_iter_4/left/Relu 1,88,14,14@0x7d783fcf90; 1,88,14,14@0x7d783fd080; 330; 335;
reduction_cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,88,14,14@0x7d783fd080; 1,88,14,14@0x7d783fd0d0; 334; 336;
reduction_cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,88,14,14@0x7d783fd0d0; 1,88,14,14@0x7d783fd120; 335; 337;
