conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_stem_0/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,11,56,56@0x7d7ac3be00; 1,11,56,56@0x7d7ac3be50; 22; 24;
cell_stem_0/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,11,56,56@0x7d7ac3be50; 1,11,56,56@0x7d7ac3bea0; 23; 25;
cell_stem_0/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,11,56,56@0x7d7ac3bea0; 1,11,56,56@0x7d7ac3bef0; 24; 31;
cell_stem_0/comb_iter_0/right/Relu 1,32,111,111@0x7d7ac3b860; 1,32,111,111@0x7d7ac3bf40; 0; 27;
cell_stem_0/comb_iter_0/right/separable_7x7_1/separable_conv2d/depthwise 1,32,111,111@0x7d7ac3bf40; 1,32,56,56@0x7d7ac3bf90; 26; 28;
cell_stem_0/comb_iter_0/right/separable_7x7_1/separable_conv2d 1,32,56,56@0x7d7ac3bf90; 1,11,56,56@0x7d7ac3bfe0; 27; 29;
cell_stem_0/comb_iter_0/right/separable_7x7_2/separable_conv2d/depthwise 1,11,56,56@0x7d7ac3bfe0; 1,11,56,56@0x7d7ac3c030; 28; 30;
cell_stem_0/comb_iter_0/right/separable_7x7_2/separable_conv2d 1,11,56,56@0x7d7ac3c030; 1,11,56,56@0x7d7ac3c080; 29; 31;
cell_stem_0/comb_iter_0/combine/add 1,11,56,56@0x7d7ac3bef0;1,11,56,56@0x7d7ac3c080; 1,11,56,56@0x7d7ac3c0d0; 25;30; 32;35;
cell_stem_0/comb_iter_3/right/AvgPool2D/AvgPool 1,11,56,56@0x7d7ac3c0d0; 1,11,56,56@0x7d7ac3c120; 31; 33;
cell_stem_0/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_stem_0/comb_iter_3/combine/add 1,11,56,56@0x7d7ac3c120; 1,11,56,56@0x7d7ac1bab0; 32; 34;
cell_stem_0/comb_iter_3/combine/add 1,11,56,56@0x7d7ac3bb30;1,11,56,56@0x7d7ac1bab0; 1,11,56,56@0x7d7ac3c170; 11;33; 44;
cell_stem_0/comb_iter_4/left/Relu 1,11,56,56@0x7d7ac3c0d0; 1,11,56,56@0x7d7ac3c1c0; 31; 36;
cell_stem_0/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,11,56,56@0x7d7ac3c1c0; 1,11,56,56@0x7d7ac3c210; 35; 37;
cell_stem_0/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,11,56,56@0x7d7ac3c210; 1,11,56,56@0x7d7ac3c260; 36; 38;
cell_stem_0/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,11,56,56@0x7d7ac3c260; 1,11,56,56@0x7d7ac3c2b0; 37; 39;
cell_stem_0/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,11,56,56@0x7d7ac3c2b0; 1,11,56,56@0x7d7ac3c300; 38; 41;
cell_stem_0/comb_iter_4/right/MaxPool2D/MaxPool 1,11,111,111@0x7d7ac3b900; 1,11,56,56@0x7d7ac3c350; 2; 42;
cell_stem_0/comb_iter_4/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_stem_0/comb_iter_4/combine/add 1,11,56,56@0x7d7ac3c300; 1,11,56,56@0x7d7ac1bb00; 39; 43;
cell_stem_0/comb_iter_4/right/MaxPool2D/MaxPool___tr4cell_stem_0/comb_iter_4/combine/add 1,11,56,56@0x7d7ac3c350; 1,11,56,56@0x7d7ac1bb50; 40; 43;
cell_stem_0/comb_iter_4/combine/add 1,11,56,56@0x7d7ac1bb00;1,11,56,56@0x7d7ac1bb50; 1,11,56,56@0x7d7ac3c3a0; 41;42; 44;
cell_stem_0/cell_output/concat 1,11,56,56@0x7d7ac3bb30;1,11,56,56@0x7d7ac3bd60;1,11,56,56@0x7d7ac3c170;1,11,56,56@0x7d7ac3c3a0; 1,44,56,56@0x7d7ac3c3f0; 11;20;34;43; 45;110;
cell_stem_1/Relu_1 1,44,56,56@0x7d7ac3c3f0; 1,44,56,56@0x7d7ac3c440; 44; 46;
cell_stem_1/Relu_1___tr4cell_stem_1/1x1/Conv2D 1,44,56,56@0x7d7ac3c440; 1,44,56,56@0x7d7ac1bba0; 45; 47;
cell_stem_1/1x1/Conv2D 1,44,56,56@0x7d7ac1bba0; 1,22,56,56@0x7d7ac3c490; 46; 48;74;83;102;
cell_stem_1/comb_iter_1/left/MaxPool2D/MaxPool 1,22,56,56@0x7d7ac3c490; 1,22,28,28@0x7d7ac3c4e0; 47; 71;
cell_stem_1/Relu 1,32,111,111@0x7d7ac3b860; 1,32,111,111@0x7d7ac3c530; 0; 50;55;
cell_stem_1/AvgPool2D 1,32,111,111@0x7d7ac3c530; 1,32,56,56@0x7d7ac3c580; 49; 51;
cell_stem_1/path1_conv/Conv2D 1,32,56,56@0x7d7ac3c580; 1,11,56,56@0x7d7ac3c5d0; 50; 64;
cell_stem_1/Pad/paddings none 4,0,2,0@0x7d7ac3c620; none 54;
cell_stem_1/Pad_Gather_Index none 4,0,0,0@0x7d7ac1b790; none 54;
cell_stem_1/Pad_Gather 4,0,2,0@0x7d7ac3c620;4,0,0,0@0x7d7ac1b790; 4,0,2,0@0x7d7ac1b7e0; 52;53; 55;
cell_stem_1/Pad 1,32,111,111@0x7d7ac3c530;4,0,2,0@0x7d7ac1b7e0; 1,32,112,112@0x7d7ac3c670; 49;54; 59;
cell_stem_1/strided_slice/stack none 4,0,0,0@0x7d7ac3c6c0; none 60;
cell_stem_1/strided_slice/stack_1 none 4,0,0,0@0x7d7ac3c710; none 60;
cell_stem_1/strided_slice/stack_2 none 4,0,0,0@0x7d7ac3c760; none 60;
cell_stem_1/Pad___tr4cell_stem_1/strided_slice 1,32,112,112@0x7d7ac3c670; 1,32,112,112@0x7d7ac1bbf0; 55; 60;
cell_stem_1/strided_slice 1,32,112,112@0x7d7ac1bbf0;4,0,0,0@0x7d7ac3c6c0;4,0,0,0@0x7d7ac3c710;4,0,0,0@0x7d7ac3c760; 1,32,111,111@0x7d7ac3c7b0; 56;57;58;59; 61;
cell_stem_1/strided_slice___tr4cell_stem_1/AvgPool2D_1 1,32,111,111@0x7d7ac3c7b0; 1,32,111,111@0x7d7ac1bc40; 60; 62;
cell_stem_1/AvgPool2D_1 1,32,111,111@0x7d7ac1bc40; 1,32,56,56@0x7d7ac3c800; 61; 63;
cell_stem_1/path2_conv/Conv2D 1,32,56,56@0x7d7ac3c800; 1,11,56,56@0x7d7ac3c850; 62; 64;
cell_stem_1/concat 1,11,56,56@0x7d7ac3c5d0;1,11,56,56@0x7d7ac3c850; 1,22,56,56@0x7d7ac3c8a0; 51;63; 65;
cell_stem_1/final_path_bn/FusedBatchNormV3 1,22,56,56@0x7d7ac3c8a0; 1,22,56,56@0x7d7ac3c8f0; 64; 66;75;88;
cell_stem_1/comb_iter_1/right/Relu 1,22,56,56@0x7d7ac3c8f0; 1,22,56,56@0x7d7ac3c940; 65; 67;
cell_stem_1/comb_iter_1/right/separable_7x7_1/separable_conv2d/depthwise 1,22,56,56@0x7d7ac3c940; 1,22,28,28@0x7d7ac3c990; 66; 68;
cell_stem_1/comb_iter_1/right/separable_7x7_1/separable_conv2d 1,22,28,28@0x7d7ac3c990; 1,22,28,28@0x7d7ac3c9e0; 67; 69;
cell_stem_1/comb_iter_1/right/separable_7x7_2/separable_conv2d/depthwise 1,22,28,28@0x7d7ac3c9e0; 1,22,28,28@0x7d7ac3ca30; 68; 70;
