1,32,149,149	4135	4597
1,32,147,147	3832	4519
1,64,147,147	8144	10039
1,64,73,73	1906	1914
1,80,73,73	2453	2548
1,192,71,71	5332	6573
1,192,35,35	973	1226
1,64,35,35	323	354
1,48,35,35	243	254
1,64,35,35	323	351
1,64,35,35	323	352
1,96,35,35	487	551
1,96,35,35	488	557
1,192,35,35	995	1208
1,32,35,35	163	164
1,64,35,35	323	352
1,48,35,35	242	262
1,64,35,35	322	353
1,64,35,35	323	354
1,96,35,35	491	558
1,96,35,35	484	556
1,256,35,35	1341	1731
1,64,35,35	323	355
1,64,35,35	322	345
1,48,35,35	242	258
1,64,35,35	323	353
1,64,35,35	322	353
1,96,35,35	487	557
1,96,35,35	485	561
1,288,35,35	1513	2025
1,64,35,35	328	342
1,384,17,17	496	624
1,64,35,35	322	354
1,96,35,35	485	557
1,96,17,17	123	126
1,288,17,17	368	433
1,192,17,17	244	265
1,128,17,17	164	177
1,128,17,17	164	177
1,192,17,17	245	280
1,128,17,17	164	177
1,128,17,17	163	177
1,128,17,17	164	177
1,128,17,17	163	176
1,192,17,17	245	278
1,768,17,17	992	1237
1,192,17,17	245	279
1,192,17,17	245	277
1,160,17,17	204	227
1,160,17,17	205	242
1,192,17,17	245	278
1,160,17,17	205	227
1,160,17,17	205	227
1,160,17,17	205	227
1,160,17,17	205	229
1,192,17,17	245	279
1,768,17,17	1003	1244
1,192,17,17	245	277
1,192,17,17	245	279
1,160,17,17	204	227
1,160,17,17	204	227
1,192,17,17	245	279
1,160,17,17	204	227
1,160,17,17	204	241
1,160,17,17	204	229
1,160,17,17	204	231
1,192,17,17	245	278
1,768,17,17	984	1328
1,192,17,17	245	278
1,192,17,17	245	277
1,192,17,17	245	281
1,192,17,17	245	277
1,192,17,17	245	280
1,192,17,17	245	279
1,192,17,17	245	278
1,192,17,17	245	277
1,192,17,17	245	278
1,192,17,17	245	280
1,768,17,17	991	1229
1,192,17,17	246	279
1,192,17,17	245	277
1,320,8,8	11	11
1,192,17,17	245	276
1,192,17,17	245	276
1,192,17,17	245	280
1,192,8,8	7	7
1,768,8,8	26	26
1,320,8,8	12	11
1,384,8,8	13	13
1,384,8,8	13	13
1,384,8,8	13	13
1,448,8,8	15	15
1,384,8,8	13	13
1,384,8,8	13	13
1,384,8,8	13	13
1,1280,8,8	42	42
1,192,8,8	7	7
1,320,8,8	11	11
1,384,8,8	13	13
1,384,8,8	13	13
1,384,8,8	13	13
1,448,8,8	15	15
1,384,8,8	14	13
1,384,8,8	13	13
1,384,8,8	13	13
1,2048,8,8	66	66
1,192,8,8	7	7
1,2048,1,1	9	9
