1001 1357.000000 1357.000000
1,32,111,111 776.319588 818.553398
1,32,56,56 343.000000 530.980000
1,32,112,112 723.800000 723.800000
1,13,111,111 439.541176 574.820000
1,14,56,56 286.400000 294.400000
1,13,56,56 286.247059 297.605578
1,27,56,56 315.270968 349.288462
1,27,28,28 246.197411 258.106529
1,28,28,27 246.540541 259.029412
1,56,56,13 274.614035 307.754386
1,65,56,56 563.608696 561.771930
1,65,57,57 523.526316 523.526316
1,54,28,28 264.968203 284.431255
1,28,28,54 274.293814 289.937743
1,28,28,135 417.875000 435.275000
1,28,28,270 647.601626 611.500000
1,108,28,28 307.952703 336.419580
1,108,14,14 240.682332 252.472197
1,14,14,108 250.521277 250.325103
1,270,14,14 297.333333 384.105263
1,270,28,28 600.194030 538.885714
1,54,14,14 216.000000 276.500000
1,14,14,540 407.495575 414.193548
1,216,14,14 274.863636 269.438356
1,216,7,7 224.725709 238.744498
1,7,7,216 233.356021 235.137500
1,540,7,7 289.550000 304.300000
1,540,14,14 387.855072 382.478261
1,108,7,7 226.900000 244.333333
1,7,7,1080 312.020000 311.676471
1,1001 74.550000 27.550000
1,3,224,224 437.333333 437.333333
1,111,111,32 1037.200000 1037.200000
1,65,28,28 391.250000 409.100000
1,56,56,65 629.600000 629.600000
1,135,28,28 396.400000 380.050000
1,1080,7,7 271.793103 318.033333
