2 1504.000000 1504.000000
1,96,165,165 4171.509091 4142.629032
1,42,165,165 2165.142857 1997.125000
1,96,83,83 1293.857143 1534.175000
1,42,83,83 794.904459 981.130841
1,83,83,42 801.317073 1142.650794
1,83,83,168 2319.875000 2826.000000
1,168,83,83 2181.333333 2398.033333
1,96,166,166 4741.000000 4741.000000
1,84,83,83 1197.853659 1127.279070
1,84,42,42 488.311475 436.278195
1,42,42,84 514.600000 481.700000
1,42,42,336 1310.857143 1892.952381
1,168,42,42 751.527397 871.160731
1,42,42,168 818.735955 1011.238462
1,1008,42,42 3151.166667 3418.412587
1,336,42,42 1124.386667 1416.479167
1,336,21,21 470.126715 460.405858
1,21,21,336 503.129310 530.705479
1,21,21,1344 1279.105263 1794.818182
1,1008,43,43 3401.636364 3401.636364
1,168,21,21 387.000000 312.764706
1,2016,21,21 1769.088710 2193.489655
1,672,21,21 688.765625 985.152174
1,672,11,11 350.641161 537.058054
1,11,11,672 359.772926 616.161850
1,11,11,2688 898.578947 1217.136364
1,2016,22,22 1989.454545 1989.454545
1,336,11,11 137.000000 310.777778
1,4032,11,11 1126.571429 1433.622449
1,3,331,331 698.888889 698.888889
1,165,165,96 4666.700000 4666.700000
1,1344,21,21 1352.550000 1584.500000
1,1008,21,21 1055.300000 1527.000000
1,42,42,1008 3375.300000 3375.300000
1,2688,11,11 874.600000 1117.000000
1,2016,11,11 698.950000 1174.000000
1,21,21,2016 1980.700000 1980.700000
1,1001 68.600000 31.625000
