conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_0/comb_iter_3/combine/add 1,216,42,42@0x720c3fa0a0;1,216,42,42@0x720c3fa0f0; 1,216,42,42@0x722703e920; 186;187; 197;
cell_0/comb_iter_4/left/Relu 1,216,42,42@0x722703de80; 1,216,42,42@0x722703e970; 147; 190;
cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x722703e970; 1,216,42,42@0x722703e9c0; 189; 191;
cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x722703e9c0; 1,216,42,42@0x722703ea10; 190; 192;
cell_0/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x722703ea10; 1,216,42,42@0x722703ea60; 191; 193;
cell_0/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x722703ea60; 1,216,42,42@0x722703eab0; 192; 194;
cell_0/comb_iter_4/combine/add 1,216,42,42@0x722703eab0;1,216,42,42@0x722703e150; 1,216,42,42@0x722703eb00; 159;193; 196;
cell_0/comb_iter_2/combine/add___tr4cell_0/cell_output/concat 1,216,42,42@0x722703e6f0; 1,216,42,42@0x720c3fa140; 179; 197;
cell_0/comb_iter_4/combine/add___tr4cell_0/cell_output/concat 1,216,42,42@0x722703eb00; 1,216,42,42@0x720c3fa190; 194; 197;
cell_0/cell_output/concat 1,216,42,42@0x722703e0b0;1,216,42,42@0x722703e380;1,216,42,42@0x720c3fa140;1,216,42,42@0x722703e920;1,216,42,42@0x720c3fa190; 1,1080,42,42@0x722703eb50; 156;168;188;195;196; 198;251;
cell_1/Relu_1 1,1080,42,42@0x722703eb50; 1,1080,42,42@0x722703eba0; 197; 199;
cell_1/Relu_1___tr4cell_1/1x1/Conv2D 1,1080,42,42@0x722703eba0; 1,1080,42,42@0x720c3fa1e0; 198; 200;
cell_1/1x1/Conv2D 1,1080,42,42@0x720c3fa1e0; 1,216,42,42@0x722703ebf0; 199; 201;206;210;215;226;235;
cell_1/comb_iter_1/left/Relu 1,216,42,42@0x722703ebf0; 1,216,42,42@0x722703ec40; 200; 202;
cell_1/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,216,42,42@0x722703ec40; 1,216,42,42@0x722703ec90; 201; 203;
cell_1/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,216,42,42@0x722703ec90; 1,216,42,42@0x722703ece0; 202; 204;
cell_1/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,216,42,42@0x722703ece0; 1,216,42,42@0x722703ed30; 203; 205;
cell_1/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,216,42,42@0x722703ed30; 1,216,42,42@0x722703ed80; 204; 207;
cell_1/comb_iter_1/right/MaxPool2D/MaxPool 1,216,42,42@0x722703ebf0; 1,216,42,42@0x722703edd0; 200; 208;
cell_1/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_1/comb_iter_1/combine/add 1,216,42,42@0x722703ed80; 1,216,42,42@0x720c3fa230; 205; 209;
cell_1/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_1/comb_iter_1/combine/add 1,216,42,42@0x722703edd0; 1,216,42,42@0x720c3fa280; 206; 209;
cell_1/comb_iter_1/combine/add 1,216,42,42@0x720c3fa230;1,216,42,42@0x720c3fa280; 1,216,42,42@0x722703ee20; 207;208; 238;
cell_1/comb_iter_2/left/Relu 1,216,42,42@0x722703ebf0; 1,216,42,42@0x722703ee70; 200; 211;
cell_1/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x722703ee70; 1,216,42,42@0x722703eec0; 210; 212;
cell_1/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x722703eec0; 1,216,42,42@0x722703ef10; 211; 213;
cell_1/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x722703ef10; 1,216,42,42@0x722703ef60; 212; 214;
cell_1/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x722703ef60; 1,216,42,42@0x722703efb0; 213; 220;
cell_1/comb_iter_2/right/Relu 1,216,42,42@0x722703ebf0; 1,216,42,42@0x7227170000; 200; 216;
cell_1/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227170000; 1,216,42,42@0x7227170050; 215; 217;
cell_1/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227170050; 1,216,42,42@0x72271700a0; 216; 218;
cell_1/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x72271700a0; 1,216,42,42@0x72271700f0; 217; 219;
cell_1/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,216,42,42@0x72271700f0; 1,216,42,42@0x7227170140; 218; 220;
cell_1/comb_iter_2/combine/add 1,216,42,42@0x722703efb0;1,216,42,42@0x7227170140; 1,216,42,42@0x7227170190; 214;219; 221;236;
cell_1/comb_iter_3/left/Relu 1,216,42,42@0x7227170190; 1,216,42,42@0x72271701e0; 220; 222;
cell_1/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x72271701e0; 1,216,42,42@0x7227170230; 221; 223;
cell_1/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227170230; 1,216,42,42@0x7227170280; 222; 224;
cell_1/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x7227170280; 1,216,42,42@0x72271702d0; 223; 225;
cell_1/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x72271702d0; 1,216,42,42@0x7227170320; 224; 227;
cell_1/comb_iter_3/right/MaxPool2D/MaxPool 1,216,42,42@0x722703ebf0; 1,216,42,42@0x7227170370; 200; 228;
cell_1/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_1/comb_iter_3/combine/add 1,216,42,42@0x7227170320; 1,216,42,42@0x720c3fa2d0; 225; 229;
cell_1/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_1/comb_iter_3/combine/add 1,216,42,42@0x7227170370; 1,216,42,42@0x720c3fa320; 226; 229;
cell_1/comb_iter_3/combine/add 1,216,42,42@0x720c3fa2d0;1,216,42,42@0x720c3fa320; 1,216,42,42@0x72271703c0; 227;228; 238;
cell_1/comb_iter_4/left/Relu 1,216,42,42@0x722703d840; 1,216,42,42@0x7227170410; 121; 231;
cell_1/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227170410; 1,216,42,42@0x7227170460; 230; 232;
cell_1/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227170460; 1,216,42,42@0x72271704b0; 231; 233;
cell_1/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x72271704b0; 1,216,42,42@0x7227170500; 232; 234;
cell_1/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227170500; 1,216,42,42@0x7227170550; 233; 235;
cell_1/comb_iter_4/combine/add 1,216,42,42@0x7227170550;1,216,42,42@0x722703ebf0; 1,216,42,42@0x72271705a0; 200;234; 237;
cell_1/comb_iter_2/combine/add___tr4cell_1/cell_output/concat 1,216,42,42@0x7227170190; 1,216,42,42@0x720c3fa370; 220; 238;
cell_1/comb_iter_4/combine/add___tr4cell_1/cell_output/concat 1,216,42,42@0x72271705a0; 1,216,42,42@0x720c3fa3c0; 235; 238;
cell_1/cell_output/concat 1,216,42,42@0x722703da70;1,216,42,42@0x722703ee20;1,216,42,42@0x720c3fa370;1,216,42,42@0x72271703c0;1,216,42,42@0x720c3fa3c0; 1,1080,42,42@0x72271705f0; 130;209;229;236;237; 239;263;
cell_3/Relu 1,1080,42,42@0x72271705f0; 1,1080,42,42@0x7227170640; 238; 240;
cell_3/Relu___tr4cell_3/prev_1x1/Conv2D 1,1080,42,42@0x7227170640; 1,1080,42,42@0x720c3fa410; 239; 241;
cell_3/prev_1x1/Conv2D 1,1080,42,42@0x720c3fa410; 1,216,42,42@0x7227170690; 240; 242;247;336;
cell_3/comb_iter_0/left/Relu 1,216,42,42@0x7227170690; 1,216,42,42@0x72271706e0; 241; 243;
cell_3/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x72271706e0; 1,216,42,42@0x7227170730; 242; 244;
cell_3/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x7227170730; 1,216,42,42@0x7227170780; 243; 245;
cell_3/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x7227170780; 1,216,42,42@0x72271707d0; 244; 246;
cell_3/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x72271707d0; 1,216,42,42@0x7227170820; 245; 248;
cell_3/comb_iter_0/right/MaxPool2D/MaxPool 1,216,42,42@0x7227170690; 1,216,42,42@0x7227170870; 241; 249;
cell_3/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_3/comb_iter_0/combine/add 1,216,42,42@0x7227170820; 1,216,42,42@0x720c3fa460; 246; 250;
cell_3/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_3/comb_iter_0/combine/add 1,216,42,42@0x7227170870; 1,216,42,42@0x720c3fa4b0; 247; 250;
cell_3/comb_iter_0/combine/add 1,216,42,42@0x720c3fa460;1,216,42,42@0x720c3fa4b0; 1,216,42,42@0x72271708c0; 248;249; 344;
cell_2/Relu 1,1080,42,42@0x722703eb50; 1,1080,42,42@0x7227170910; 197; 252;
cell_2/Relu___tr4cell_2/prev_1x1/Conv2D 1,1080,42,42@0x7227170910; 1,1080,42,42@0x720c3fa500; 251; 253;
cell_2/prev_1x1/Conv2D 1,1080,42,42@0x720c3fa500; 1,216,42,42@0x7227170960; 252; 254;259;295;
cell_2/comb_iter_0/left/Relu 1,216,42,42@0x7227170960; 1,216,42,42@0x72271709b0; 253; 255;
cell_2/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x72271709b0; 1,216,42,42@0x7227170a00; 254; 256;
cell_2/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x7227170a00; 1,216,42,42@0x7227170a50; 255; 257;
cell_2/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x7227170a50; 1,216,42,42@0x7227170aa0; 256; 258;
cell_2/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x7227170aa0; 1,216,42,42@0x7227170af0; 257; 260;
cell_2/comb_iter_0/right/MaxPool2D/MaxPool 1,216,42,42@0x7227170960; 1,216,42,42@0x7227170b40; 253; 261;
cell_2/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_2/comb_iter_0/combine/add 1,216,42,42@0x7227170af0; 1,216,42,42@0x720c3fa550; 258; 262;
cell_2/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_2/comb_iter_0/combine/add 1,216,42,42@0x7227170b40; 1,216,42,42@0x720c3fa5a0; 259; 262;
cell_2/comb_iter_0/combine/add 1,216,42,42@0x720c3fa550;1,216,42,42@0x720c3fa5a0; 1,216,42,42@0x7227170b90; 260;261; 303;
cell_2/Relu_1 1,1080,42,42@0x72271705f0; 1,1080,42,42@0x7227170be0; 238; 264;
cell_2/Relu_1___tr4cell_2/1x1/Conv2D 1,1080,42,42@0x7227170be0; 1,1080,42,42@0x720c3fa5f0; 263; 265;
cell_2/1x1/Conv2D 1,1080,42,42@0x720c3fa5f0; 1,216,42,42@0x7227170c30; 264; 266;271;275;280;291;300;
cell_2/comb_iter_1/left/Relu 1,216,42,42@0x7227170c30; 1,216,42,42@0x7227170c80; 265; 267;
cell_2/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,216,42,42@0x7227170c80; 1,216,42,42@0x7227170cd0; 266; 268;
cell_2/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,216,42,42@0x7227170cd0; 1,216,42,42@0x7227170d20; 267; 269;
cell_2/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,216,42,42@0x7227170d20; 1,216,42,42@0x7227170d70; 268; 270;
cell_2/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,216,42,42@0x7227170d70; 1,216,42,42@0x7227170dc0; 269; 272;
cell_2/comb_iter_1/right/MaxPool2D/MaxPool 1,216,42,42@0x7227170c30; 1,216,42,42@0x7227170e10; 265; 273;
cell_2/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_2/comb_iter_1/combine/add 1,216,42,42@0x7227170dc0; 1,216,42,42@0x720c3fa640; 270; 274;
cell_2/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_2/comb_iter_1/combine/add 1,216,42,42@0x7227170e10; 1,216,42,42@0x720c3fa690; 271; 274;
cell_2/comb_iter_1/combine/add 1,216,42,42@0x720c3fa640;1,216,42,42@0x720c3fa690; 1,216,42,42@0x7227170e60; 272;273; 303;
cell_2/comb_iter_2/left/Relu 1,216,42,42@0x7227170c30; 1,216,42,42@0x7227170eb0; 265; 276;
cell_2/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x7227170eb0; 1,216,42,42@0x7227170f00; 275; 277;
cell_2/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x7227170f00; 1,216,42,42@0x7227170f50; 276; 278;
cell_2/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x7227170f50; 1,216,42,42@0x7227170fa0; 277; 279;
cell_2/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x7227170fa0; 1,216,42,42@0x7227170ff0; 278; 285;
cell_2/comb_iter_2/right/Relu 1,216,42,42@0x7227170c30; 1,216,42,42@0x7227171040; 265; 281;
cell_2/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227171040; 1,216,42,42@0x7227171090; 280; 282;
cell_2/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227171090; 1,216,42,42@0x72271710e0; 281; 283;
cell_2/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x72271710e0; 1,216,42,42@0x7227171130; 282; 284;
cell_2/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227171130; 1,216,42,42@0x7227171180; 283; 285;
cell_2/comb_iter_2/combine/add 1,216,42,42@0x7227170ff0;1,216,42,42@0x7227171180; 1,216,42,42@0x72271711d0; 279;284; 286;301;
cell_2/comb_iter_3/left/Relu 1,216,42,42@0x72271711d0; 1,216,42,42@0x7227171220; 285; 287;
cell_2/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227171220; 1,216,42,42@0x7227171270; 286; 288;
cell_2/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227171270; 1,216,42,42@0x72271712c0; 287; 289;
cell_2/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x72271712c0; 1,216,42,42@0x7227171310; 288; 290;
cell_2/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227171310; 1,216,42,42@0x7227171360; 289; 292;
cell_2/comb_iter_3/right/MaxPool2D/MaxPool 1,216,42,42@0x7227170c30; 1,216,42,42@0x72271713b0; 265; 293;
cell_2/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_2/comb_iter_3/combine/add 1,216,42,42@0x7227171360; 1,216,42,42@0x720c3fa6e0; 290; 294;
cell_2/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_2/comb_iter_3/combine/add 1,216,42,42@0x72271713b0; 1,216,42,42@0x720c3fa730; 291; 294;
cell_2/comb_iter_3/combine/add 1,216,42,42@0x720c3fa6e0;1,216,42,42@0x720c3fa730; 1,216,42,42@0x7227171400; 292;293; 303;
cell_2/comb_iter_4/left/Relu 1,216,42,42@0x7227170960; 1,216,42,42@0x7227171450; 253; 296;
cell_2/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227171450; 1,216,42,42@0x72271714a0; 295; 297;
cell_2/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x72271714a0; 1,216,42,42@0x72271714f0; 296; 298;
cell_2/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x72271714f0; 1,216,42,42@0x7227171540; 297; 299;
cell_2/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227171540; 1,216,42,42@0x7227171590; 298; 300;
cell_2/comb_iter_4/combine/add 1,216,42,42@0x7227171590;1,216,42,42@0x7227170c30; 1,216,42,42@0x72271715e0; 265;299; 302;
cell_2/comb_iter_2/combine/add___tr4cell_2/cell_output/concat 1,216,42,42@0x72271711d0; 1,216,42,42@0x720c3fa780; 285; 303;
cell_2/comb_iter_4/combine/add___tr4cell_2/cell_output/concat 1,216,42,42@0x72271715e0; 1,216,42,42@0x720c3fa7d0; 300; 303;
cell_2/cell_output/concat 1,216,42,42@0x7227170b90;1,216,42,42@0x7227170e60;1,216,42,42@0x720c3fa780;1,216,42,42@0x7227171400;1,216,42,42@0x720c3fa7d0; 1,1080,42,42@0x7227171630; 262;274;294;301;302; 304;369;
cell_3/Relu_1 1,1080,42,42@0x7227171630; 1,1080,42,42@0x7227171680; 303; 305;
cell_3/Relu_1___tr4cell_3/1x1/Conv2D 1,1080,42,42@0x7227171680; 1,1080,42,42@0x720c3fa820; 304; 306;
cell_3/1x1/Conv2D 1,1080,42,42@0x720c3fa820; 1,216,42,42@0x72271716d0; 305; 307;312;316;321;332;341;
cell_3/comb_iter_1/left/Relu 1,216,42,42@0x72271716d0; 1,216,42,42@0x7227171720; 306; 308;
cell_3/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,216,42,42@0x7227171720; 1,216,42,42@0x7227171770; 307; 309;
cell_3/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,216,42,42@0x7227171770; 1,216,42,42@0x72271717c0; 308; 310;
cell_3/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,216,42,42@0x72271717c0; 1,216,42,42@0x7227171810; 309; 311;
cell_3/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,216,42,42@0x7227171810; 1,216,42,42@0x7227171860; 310; 313;
cell_3/comb_iter_1/right/MaxPool2D/MaxPool 1,216,42,42@0x72271716d0; 1,216,42,42@0x72271718b0; 306; 314;
cell_3/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_3/comb_iter_1/combine/add 1,216,42,42@0x7227171860; 1,216,42,42@0x720c3fa870; 311; 315;
cell_3/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_3/comb_iter_1/combine/add 1,216,42,42@0x72271718b0; 1,216,42,42@0x720c3fa8c0; 312; 315;
cell_3/comb_iter_1/combine/add 1,216,42,42@0x720c3fa870;1,216,42,42@0x720c3fa8c0; 1,216,42,42@0x7227171900; 313;314; 344;
cell_3/comb_iter_2/left/Relu 1,216,42,42@0x72271716d0; 1,216,42,42@0x7227171950; 306; 317;
cell_3/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x7227171950; 1,216,42,42@0x72271719a0; 316; 318;
cell_3/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x72271719a0; 1,216,42,42@0x72271719f0; 317; 319;
cell_3/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x72271719f0; 1,216,42,42@0x7227171a40; 318; 320;
cell_3/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x7227171a40; 1,216,42,42@0x7227171a90; 319; 326;
cell_3/comb_iter_2/right/Relu 1,216,42,42@0x72271716d0; 1,216,42,42@0x7227171ae0; 306; 322;
cell_3/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227171ae0; 1,216,42,42@0x7227171b30; 321; 323;
cell_3/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227171b30; 1,216,42,42@0x7227171b80; 322; 324;
cell_3/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x7227171b80; 1,216,42,42@0x7227171bd0; 323; 325;
cell_3/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227171bd0; 1,216,42,42@0x7227171c20; 324; 326;
cell_3/comb_iter_2/combine/add 1,216,42,42@0x7227171a90;1,216,42,42@0x7227171c20; 1,216,42,42@0x7227171c70; 320;325; 327;342;
cell_3/comb_iter_3/left/Relu 1,216,42,42@0x7227171c70; 1,216,42,42@0x7227171cc0; 326; 328;
cell_3/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227171cc0; 1,216,42,42@0x7227171d10; 327; 329;
cell_3/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227171d10; 1,216,42,42@0x7227171d60; 328; 330;
cell_3/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x7227171d60; 1,216,42,42@0x7227171db0; 329; 331;
cell_3/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227171db0; 1,216,42,42@0x7227171e00; 330; 333;
cell_3/comb_iter_3/right/MaxPool2D/MaxPool 1,216,42,42@0x72271716d0; 1,216,42,42@0x7227171e50; 306; 334;
cell_3/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_3/comb_iter_3/combine/add 1,216,42,42@0x7227171e00; 1,216,42,42@0x720c3fa910; 331; 335;
cell_3/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_3/comb_iter_3/combine/add 1,216,42,42@0x7227171e50; 1,216,42,42@0x720c3fa960; 332; 335;
cell_3/comb_iter_3/combine/add 1,216,42,42@0x720c3fa910;1,216,42,42@0x720c3fa960; 1,216,42,42@0x7227171ea0; 333;334; 344;
cell_3/comb_iter_4/left/Relu 1,216,42,42@0x7227170690; 1,216,42,42@0x7227171ef0; 241; 337;
cell_3/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x7227171ef0; 1,216,42,42@0x7227171f40; 336; 338;
cell_3/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x7227171f40; 1,216,42,42@0x7227171f90; 337; 339;
cell_3/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x7227171f90; 1,216,42,42@0x7227171fe0; 338; 340;
cell_3/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x7227171fe0; 1,216,42,42@0x7227172030; 339; 341;
cell_3/comb_iter_4/combine/add 1,216,42,42@0x7227172030;1,216,42,42@0x72271716d0; 1,216,42,42@0x7227172080; 306;340; 343;
cell_3/comb_iter_2/combine/add___tr4cell_3/cell_output/concat 1,216,42,42@0x7227171c70; 1,216,42,42@0x720c3fa9b0; 326; 344;
cell_3/comb_iter_4/combine/add___tr4cell_3/cell_output/concat 1,216,42,42@0x7227172080; 1,216,42,42@0x720c3faa00; 341; 344;
cell_3/cell_output/concat 1,216,42,42@0x72271708c0;1,216,42,42@0x7227171900;1,216,42,42@0x720c3fa9b0;1,216,42,42@0x7227171ea0;1,216,42,42@0x720c3faa00; 1,1080,42,42@0x72271720d0; 250;315;335;342;343; 345;381;
cell_5/Relu 1,1080,42,42@0x72271720d0; 1,1080,42,42@0x7227172120; 344; 346;350;
cell_5/Relu___tr4cell_5/AvgPool2D 1,1080,42,42@0x7227172120; 1,1080,42,42@0x720c3faa50; 345; 347;
cell_5/AvgPool2D 1,1080,42,42@0x720c3faa50; 1,1080,21,21@0x7227172170; 346; 348;
cell_5/path1_conv/Conv2D 1,1080,21,21@0x7227172170; 1,216,21,21@0x72271721c0; 347; 358;
cell_5/Pad/paddings none 4,0,2,0@0x7227172210; none 350;
cell_5/Pad 1,1080,42,42@0x7227172120;4,0,2,0@0x7227172210; 1,1080,43,43@0x7227172260; 345;349; 354;
cell_5/strided_slice/stack none 4,0,0,0@0x72271722b0; none 354;
cell_5/strided_slice/stack_1 none 4,0,0,0@0x7227172300; none 354;
cell_5/strided_slice/stack_2 none 4,0,0,0@0x7227172350; none 354;
cell_5/strided_slice 1,1080,43,43@0x7227172260;4,0,0,0@0x72271722b0;4,0,0,0@0x7227172300;4,0,0,0@0x7227172350; 1,1080,42,42@0x72271723a0; 350;351;352;353; 355;
cell_5/strided_slice___tr4cell_5/AvgPool2D_1 1,1080,42,42@0x72271723a0; 1,1080,42,42@0x720c3faaa0; 354; 356;
cell_5/AvgPool2D_1 1,1080,42,42@0x720c3faaa0; 1,1080,21,21@0x72271723f0; 355; 357;
cell_5/path2_conv/Conv2D 1,1080,21,21@0x72271723f0; 1,216,21,21@0x7227172440; 356; 358;
cell_5/concat 1,216,21,21@0x72271721c0;1,216,21,21@0x7227172440; 1,432,21,21@0x7227172490; 348;357; 359;
cell_5/final_path_bn/FusedBatchNormV3 1,432,21,21@0x7227172490; 1,432,21,21@0x72271724e0; 358; 360;365;456;
cell_5/comb_iter_0/left/Relu 1,432,21,21@0x72271724e0; 1,432,21,21@0x7227172530; 359; 361;
cell_5/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,432,21,21@0x7227172530; 1,432,21,21@0x7227172580; 360; 362;
cell_5/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x7227172580; 1,432,21,21@0x72271725d0; 361; 363;
cell_5/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x72271725d0; 1,432,21,21@0x7227172620; 362; 364;
cell_5/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x7227172620; 1,432,21,21@0x7227172670; 363; 366;
cell_5/comb_iter_0/right/MaxPool2D/MaxPool 1,432,21,21@0x72271724e0; 1,432,21,21@0x72271726c0; 359; 367;
cell_5/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_5/comb_iter_0/combine/add 1,432,21,21@0x7227172670; 1,432,21,21@0x720c3faaf0; 364; 368;
cell_5/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_5/comb_iter_0/combine/add 1,432,21,21@0x72271726c0; 1,432,21,21@0x720c3fab40; 365; 368;
cell_5/comb_iter_0/combine/add 1,432,21,21@0x720c3faaf0;1,432,21,21@0x720c3fab40; 1,432,21,21@0x7227172710; 366;367; 464;
cell_4/Relu 1,1080,42,42@0x7227171630; 1,1080,42,42@0x7227172760; 303; 370;
cell_4/Relu___tr4cell_4/prev_1x1/Conv2D 1,1080,42,42@0x7227172760; 1,1080,42,42@0x720c3fab90; 369; 371;
cell_4/prev_1x1/Conv2D 1,1080,42,42@0x720c3fab90; 1,432,42,42@0x72271727b0; 370; 372;377;413;
cell_4/comb_iter_0/left/Relu 1,432,42,42@0x72271727b0; 1,432,42,42@0x7227172800; 371; 373;
cell_4/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,432,42,42@0x7227172800; 1,432,21,21@0x7227172850; 372; 374;
cell_4/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,432,21,21@0x7227172850; 1,432,21,21@0x72271728a0; 373; 375;
cell_4/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,432,21,21@0x72271728a0; 1,432,21,21@0x72271728f0; 374; 376;
cell_4/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,432,21,21@0x72271728f0; 1,432,21,21@0x7227172940; 375; 378;
