conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_stem_1/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,108,42,42@0x722703bdb0; 1,108,42,42@0x722703be00; 21; 24;
cell_stem_1/comb_iter_0/right/MaxPool2D/MaxPool 1,108,83,83@0x722703bc70; 1,108,42,42@0x722703be50; 17; 25;
cell_stem_1/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_0/combine/add 1,108,42,42@0x722703be00; 1,108,42,42@0x720c1fe920; 22; 26;
cell_stem_1/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_0/combine/add 1,108,42,42@0x722703be50; 1,108,42,42@0x720c1fe970; 23; 26;
cell_stem_1/comb_iter_0/combine/add 1,108,42,42@0x720c1fe920;1,108,42,42@0x720c1fe970; 1,108,42,42@0x722703bea0; 24;25; 118;
cell_stem_0/comb_iter_0/left/Relu 1,96,165,165@0x722703b860; 1,96,165,165@0x722703bef0; 0; 28;
cell_stem_0/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,96,165,165@0x722703bef0; 1,96,83,83@0x722703bf40; 27; 29;
cell_stem_0/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,96,83,83@0x722703bf40; 1,54,83,83@0x722703bf90; 28; 30;
cell_stem_0/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,54,83,83@0x722703bf90; 1,54,83,83@0x722703bfe0; 29; 31;
cell_stem_0/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,54,83,83@0x722703bfe0; 1,54,83,83@0x722703c030; 30; 34;
cell_stem_0/comb_iter_0/right/MaxPool2D/MaxPool 1,96,165,165@0x722703b860; 1,96,83,83@0x722703c080; 0; 33;
cell_stem_0/comb_iter_0/right/1x1/Conv2D 1,96,83,83@0x722703c080; 1,54,83,83@0x722703c0d0; 32; 34;
cell_stem_0/comb_iter_0/combine/add 1,54,83,83@0x722703c030;1,54,83,83@0x722703c0d0; 1,54,83,83@0x722703c120; 31;33; 76;
cell_stem_0/Relu 1,96,165,165@0x722703b860; 1,96,165,165@0x722703c170; 0; 36;
cell_stem_0/1x1/Conv2D 1,96,165,165@0x722703c170; 1,54,165,165@0x722703c1c0; 35; 37;42;46;51;62;71;
cell_stem_0/comb_iter_1/left/Relu 1,54,165,165@0x722703c1c0; 1,54,165,165@0x722703c210; 36; 38;
cell_stem_0/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,54,165,165@0x722703c210; 1,54,83,83@0x722703c260; 37; 39;
cell_stem_0/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,54,83,83@0x722703c260; 1,54,83,83@0x722703c2b0; 38; 40;
cell_stem_0/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,54,83,83@0x722703c2b0; 1,54,83,83@0x722703c300; 39; 41;
