TensorConvert copyToDevice 1001, 2234
TensorConvert copyToDevice 1,3,331,331, 8417
TensorConvert copyFromDevice 1,96,165,165, 29165
TensorConvert copyToDevice 1,108,83,83, 4122
TensorConvert copyFromDevice 1,96,165,165, 6423
TensorConvert copyFromDevice 1,96,165,165, 5212
TensorConvert copyFromDevice 1,54,165,165, 4260
TensorConvert copyFromDevice 1,54,165,165, 4467
TensorConvert copyFromDevice 1,54,165,165, 4388
TensorConvert copyFromDevice 1,54,83,83, 3291
TensorConvert copyFromDevice 1,54,83,83, 3120
TensorConvert copyToDevice 1,270,83,83, 7415
TensorConvert copyFromDevice 1,108,83,83, 4512
TensorConvert copyFromDevice 1,108,83,83, 3504
TensorConvert copyFromDevice 1,108,83,83, 3703
TensorConvert copyToDevice 1,42,42,108, 1810
TensorConvert copyToDevice 1,42,42,108, 4318
TensorConvert copyToDevice 1,42,42,108, 3569
TensorConvert copyToDevice 1,216,42,42, 2491
TensorConvert copyFromDevice 1,42,42,540, 8437
TensorConvert copyToDevice 1,216,42,42, 1773
TensorConvert copyFromDevice 1,216,42,42, 4250
TensorConvert copyFromDevice 1,216,42,42, 3503
TensorConvert copyFromDevice 1,216,42,42, 3114
TensorConvert copyFromDevice 1,42,42,216, 3696
TensorConvert copyFromDevice 1,42,42,216, 3124
TensorConvert copyFromDevice 1,42,42,216, 3028
TensorConvert copyToDevice 1,42,42,1080, 4896
TensorConvert copyFromDevice 1,216,42,42, 5320
TensorConvert copyFromDevice 1,216,42,42, 3687
TensorConvert copyFromDevice 1,216,42,42, 3193
TensorConvert copyFromDevice 1,42,42,216, 3443
TensorConvert copyFromDevice 1,42,42,216, 3172
TensorConvert copyToDevice 1,42,42,1080, 5147
TensorConvert copyToDevice 1,42,42,1080, 5717
TensorConvert copyFromDevice 1,216,42,42, 3724
TensorConvert copyFromDevice 1,216,42,42, 3531
TensorConvert copyToDevice 1,216,42,42, 1891
TensorConvert copyFromDevice 1,42,42,216, 4768
TensorConvert copyFromDevice 1,42,42,216, 4858
TensorConvert copyFromDevice 1,42,42,216, 3470
TensorConvert copyToDevice 1,42,42,1080, 4078
TensorConvert copyFromDevice 1,216,42,42, 3351
TensorConvert copyToDevice 1,42,42,1080, 4254
TensorConvert copyFromDevice 1,216,42,42, 8802
TensorConvert copyFromDevice 1,216,42,42, 3629
TensorConvert copyFromDevice 1,42,42,216, 3556
TensorConvert copyFromDevice 1,42,42,216, 3105
TensorConvert copyFromDevice 1,42,42,216, 3036
TensorConvert copyToDevice 1,42,42,1080, 4702
TensorConvert copyToDevice 1,432,21,21, 2441
TensorConvert copyFromDevice 1,432,42,42, 4022
TensorConvert copyFromDevice 1,432,42,42, 3623
TensorConvert copyFromDevice 1,432,42,42, 3546
TensorConvert copyFromDevice 1,432,42,42, 3453
TensorConvert copyFromDevice 1,432,42,42, 3478
TensorConvert copyFromDevice 1,21,21,432, 3026
TensorConvert copyFromDevice 1,21,21,432, 2854
TensorConvert copyToDevice 1,21,21,2160, 2572
TensorConvert copyFromDevice 1,432,21,21, 3670
TensorConvert copyFromDevice 1,432,21,21, 3090
TensorConvert copyToDevice 1,21,21,2160, 2661
TensorConvert copyFromDevice 1,21,21,432, 8330
