2 3597.000000 3597.000000
1,96,165,165 4568.960784 4840.129032
1,42,165,165 3180.636364 3151.657143
1,96,83,83 2199.100000 1876.903226
1,42,83,83 2282.786260 1956.574713
1,83,83,42 2364.727273 2379.775862
1,83,83,168 4064.444444 4756.100000
1,168,83,83 2961.500000 2973.037037
1,96,166,166 21137.000000 21137.000000
1,84,83,83 2299.439394 2086.853659
1,84,42,42 1907.080000 1815.760274
1,42,42,84 2052.787879 1713.909091
1,42,42,336 2643.250000 2922.555556
1,168,42,42 1927.405208 1706.622530
1,42,42,168 1951.770370 1739.394737
1,1008,42,42 3476.464286 3483.000000
1,336,42,42 2257.200000 1935.435897
1,336,21,21 1683.840081 1539.586425
1,21,21,336 1740.131429 1557.243243
1,21,21,1344 2386.470588 2711.157895
1,1008,43,43 4509.909091 4509.909091
1,168,21,21 1979.000000 2083.764706
1,2016,21,21 2414.635514 2236.575000
1,672,21,21 1785.346154 1538.135135
1,672,11,11 1556.452431 1416.558659
1,11,11,672 1540.790419 1249.307087
1,11,11,2688 2118.666667 2138.052632
1,2016,22,22 3293.600000 3293.600000
1,336,11,11 3752.000000 1893.250000
1,4032,11,11 1976.614458 1815.767442
1,3,331,331 1463.666667 1463.666667
1,165,165,96 5693.100000 5693.100000
1,1344,21,21 2799.888889 1839.000000
1,1008,21,21 2798.578947 1109.000000
1,42,42,1008 4293.100000 4293.100000
1,2688,11,11 2212.388889 2421.500000
1,2016,11,11 2349.888889 2041.000000
1,21,21,2016 2854.857143 2854.857143
1,1001 1596.250000 1360.500000
