2 11390.000000 11390.000000
1,96,165,165 4572.875000 4638.983333
1,96,83,83 2394.526316 1950.185185
1,96,166,166 22441.000000 22441.000000
1,54,83,83 2309.008850 1967.691275
1,108,83,83 2243.551282 1965.915254
1,108,42,42 1791.376812 1511.624161
1,42,42,108 1640.242424 1425.928571
1,54,165,165 3443.076923 3713.410714
1,83,83,54 1913.882353 2393.031250
1,270,83,83 3711.666667 3531.028571
1,42,42,540 2779.500000 3461.055556
1,216,42,42 1851.637016 1782.645408
1,42,42,216 1686.250000 2007.044248
1,270,84,84 4041.727273 4041.727273
1,42,42,1080 4086.112500 5844.473118
1,1080,21,21 2530.200000 1740.285714
1,1080,42,42 3897.385714 3614.000000
1,216,21,21 2488.000000 1901.625000
1,432,21,21 1574.708599 1468.194903
1,21,21,432 1847.333333 1124.148936
1,432,42,42 2017.560000 2069.700000
1,21,21,2160 2501.142857 2518.430380
1,2160,11,11 2284.400000 1794.500000
1,2160,21,21 2553.953125 2860.800000
1,432,11,11 1905.000000 1623.142857
1,864,11,11 1429.817114 1365.539185
1,11,11,864 1329.000000 1025.957219
1,864,21,21 1775.803922 1788.794118
1,11,11,4320 1622.000000 1787.903846
1,3,331,331 2226.333333 2226.333333
1,165,165,96 5758.400000 5758.400000
1,540,42,42 2491.611111 3835.000000
1,270,42,42 2547.222222 1012.000000
1,83,83,270 5409.400000 5409.400000
1,4320,11,11 2023.324324 2368.333333
1,1001 1714.875000 1487.428571
