1,32,149,149 6403.333333 8137.666667
1,64,147,147 6627.222222 9821.222222
1,80,73,73 7030.222222 7425.222222
1,192,35,35 6519.104167 7541.097561
1,96,35,35 6779.700000 7489.333333
1,32,35,35 6600.800000 6838.900000
1,256,35,35 6303.645833 7275.163265
1,64,35,35 6337.517857 7161.147059
1,48,35,35 6432.275862 7153.600000
1,288,35,35 6393.828947 7454.597015
1,288,17,17 6689.000000 7370.300000
1,768,17,17 6360.211009 7250.477679
1,128,17,17 6420.551724 6971.324324
1,192,17,17 6481.227273 7041.092308
1,160,17,17 6412.169643 7240.333333
1,768,8,8 6233.800000 7110.066667
1,1280,8,8 6572.979592 7202.937500
1,448,8,8 6529.789474 7309.300000
1,384,8,8 6510.372263 7171.656250
1,320,8,8 6600.789474 6921.700000
1,2048,8,8 6432.830508 7428.350000
1,2048,1,1 6581.900000 7083.200000
1,1,1,1001 6577.600000 7056.300000
1,1001 6396.052632 6746.931034
1,3,299,299 6204.222222 6204.222222
1,32,147,147 6877.700000 8410.800000
1,64,73,73 6666.875000 6955.222222
1,192,71,71 6548.777778 9216.400000
1,1001,1,1 6979.777778 6739.300000
