2 2404.000000 2404.000000
1,32,111,111 1478.372549 1393.566667
1,11,111,111 919.250000 877.714286
1,32,56,56 927.250000 1034.000000
1,11,56,56 845.373239 705.000000
1,56,56,11 918.880952 723.539683
1,56,56,44 1045.500000 1281.142857
1,44,56,56 936.333333 825.280000
1,32,112,112 2753.000000 2753.000000
1,22,56,56 903.612500 756.931818
1,22,28,28 764.447368 700.420732
1,28,28,22 840.702703 708.555556
1,28,28,88 947.200000 754.476190
1,44,28,28 809.006812 699.849282
1,28,28,44 838.738318 713.260000
1,264,28,28 1108.302326 918.618557
1,88,28,28 947.908046 732.533333
1,88,14,14 766.239709 673.390562
1,14,14,88 820.728395 685.201439
1,14,14,352 887.238095 719.150000
1,264,29,29 1187.400000 1187.400000
1,44,14,14 1027.000000 676.421053
1,528,14,14 954.111111 785.614583
1,176,14,14 951.647887 708.272727
1,176,7,7 716.283117 648.501529
1,7,7,176 770.981132 659.750000
1,7,7,704 821.315789 706.142857
1,528,15,15 986.500000 986.500000
1,88,7,7 1128.000000 657.588235
1,1056,7,7 796.224138 665.135593
1,3,224,224 1058.000000 1058.000000
1,111,111,32 2192.300000 2192.300000
1,352,14,14 838.578947 883.500000
1,264,14,14 850.125000 724.000000
1,28,28,264 1135.200000 1135.200000
1,704,7,7 720.941176 667.500000
1,528,7,7 791.631579 714.000000
1,14,14,528 909.400000 909.400000
1,1001 944.375000 809.142857
