2 2214.000000 2214.000000
1,96,165,165 3954.627451 4309.351852
1,42,165,165 3947.571429 2200.526316
1,96,83,83 1958.636364 1994.000000
1,42,83,83 1144.312500 1438.846154
1,83,83,42 965.800000 1469.467742
1,83,83,168 3397.760000 3844.277778
1,168,83,83 2476.000000 3304.851852
1,96,166,166 4020.000000 4020.000000
1,84,83,83 1617.044118 1754.069767
1,84,42,42 606.186275 551.021127
1,42,42,84 699.692308 578.392857
1,42,42,336 1736.722222 1972.222222
1,168,42,42 1033.565749 987.835753
1,42,42,168 1128.059172 1059.067669
1,1008,42,42 3485.149606 3339.285714
1,336,42,42 1548.397436 1556.477273
1,336,21,21 555.236416 471.800485
1,21,21,336 524.324201 529.156069
1,21,21,1344 1321.850000 1843.833333
1,1008,43,43 2831.363636 2831.363636
1,168,21,21 463.000000 340.882353
1,2016,21,21 1899.168317 2004.452174
1,672,21,21 993.448276 884.333333
1,672,11,11 422.620557 409.624287
1,11,11,672 459.374429 415.753012
1,11,11,2688 894.047619 1269.571429
1,2016,22,22 3035.900000 3035.900000
1,336,11,11 358.000000 319.578947
1,4032,11,11 1399.784091 1412.772152
1,3,331,331 734.375000 734.375000
1,165,165,96 4885.500000 4885.500000
1,1344,21,21 1380.058824 1268.000000
1,1008,21,21 1130.500000 1064.000000
1,42,42,1008 3325.800000 3325.800000
1,2688,11,11 1068.333333 921.000000
1,2016,11,11 879.550000 1042.000000
1,21,21,2016 2032.555556 2032.555556
1,1001 697.285714 105.000000
